Name,User ID,Followers,Followed,Tweets,Listed Count,Favourites Count,Media Count,Verified,Joined Twitter Date (UTC),Location,Description,Tweeted Search Term?,Pinned Tweet ID,URL,Is Blue Verified,LABEL
Moses barasa,3654477556,298,1680,521,0,2593,3,FALSE,9/14/2015 15:44,"Nairobi, Kenya",Never mind if it's mindless,Yes,,https://t.co/R5F5ujw3Pc,FALSE,0
Willi@m,1.27E+18,713,594,5807,0,86475,492,FALSE,6/21/2020 17:40,Ubique,"in nomine Patris, et Filii, et Spiritus Sancti",Yes,1.37E+18,,FALSE,1
eyecandid8🤴🏾,8.55E+17,407,331,82315,0,130812,84,FALSE,4/21/2017 14:46,"Nairobi, Kenya","PORTRAIT PHOTOGRAPHER 🍉
\mag cover aspirator
\S on my chest & I keep a cape around 🦸🏾‍♂
\Portfolio:
\I got a bad boy tenacity",Yes,1.80E+18,https://t.co/OHqmr2EH98,FALSE,0
🅚🅐🅑🅐🅢🅢🅔🅛🅔,102695294,82,564,1249,0,470,11,FALSE,1/7/2010 14:34,🌍,"Love Life, Live Life.",Yes,,,FALSE,0
MUHAMMAD ONYANGO,9.09E+17,115748,2325,127597,30,198334,6789,FALSE,9/17/2017 18:49,"Nairobi, Kenya",Passionate CEO of @NextLevel__Mktg | Building bridges between halal brands and hungry audiences | Crafting social media magic for halal brands | Let's do this !,No,1.60E+18,https://t.co/R9UUNbcsTv,TRUE,1
Vancie Djvancie✌,8.62E+17,141,143,739,0,1689,32,FALSE,5/8/2017 19:09,Kenya,"All round professional deejay// entrepreneur // mec./sound engineer// events and sound //media DJ/
links📲
https://t.co/TPtBNM5oiS
https://t.co/YjbMidbbXU",Yes,,https://t.co/kquVeC909J,FALSE,0
Kenyan Rug Dealer,1681043564,1442,1229,8842,4,30350,83,FALSE,8/18/2013 15:55,The Hotbed of Champions,"⚽️:MUFC,BARCA|🏎:MercedesAmgf1|One leg outta duvet kinda guy",Yes,,,FALSE,0
Emilio24/7,1.00E+18,150,2189,3223,0,7170,4,FALSE,6/6/2018 20:03,Kenya,,Yes,,,FALSE,0
Lokesha,2916955960,1583,1301,9022,2,115818,59,FALSE,12/12/2014 5:25,,Lokesha Liballa,Yes,1.47E+18,,FALSE,0
waheirealex,321411415,1303,2715,9545,16,27192,592,FALSE,6/21/2011 14:46,Nairobi Kenya,"GOD ✝ 
Father👨‍👧
Your No.1 Computers and Accessories Plug💻🖥🖱⌨ at New Time Solutions
🇰🇪",Yes,,,FALSE,1
Raymok,1.59E+18,1859,804,34704,6,37365,464,FALSE,11/1/2022 10:24,Kenya ,"Influencer, socializer, online marketing for publicity, a psyscholigist and scientist",Yes,1.81E+18,,TRUE,0
erik,1.68E+18,17,31,1952,0,1855,1,FALSE,7/1/2023 5:26,,,Yes,,,FALSE,0
Jiwe kubasu,2578736226,1583,1728,6254,14,2701,33,FALSE,6/20/2014 14:21,Kilifi Kenya,@Arsenal  #Gunner,Yes,,https://t.co/EybcSiiwv6,FALSE,0
Mwangi_ole_Beta,1.70E+18,37,93,1187,0,3338,9,FALSE,9/20/2023 3:21,,,Yes,,,FALSE,0
Shemesley,1.50E+18,141,524,12240,0,68981,6,FALSE,3/7/2022 18:18,"Nairobi, Kenya","Amandla
shall we?",Yes,,,FALSE,0
Hubie..,1.37E+18,683,523,10234,0,57608,372,FALSE,3/4/2021 8:22,Biashara Street. ,"Writing enthusiast.
Law student. IHL. 
Black Excellence all the way.
 F1 | Moto Gp.      
Pronouns (where/when).",Yes,1.73E+18,,FALSE,1
theblaze,1.74E+18,43,51,561,0,1019,19,FALSE,1/4/2024 23:08,,,Yes,,,FALSE,0
Sam Mjanja,1.68E+18,541,1049,699,0,1916,169,FALSE,7/10/2023 12:54,Nairobi ,Beacon of Rekindled Hope!,Yes,1.81E+18,https://t.co/XRSrV7IZ1i,FALSE,0
shikoh_love,1.29E+18,647,1150,7760,0,23186,364,FALSE,8/14/2020 18:52,,My pronounce are :||fuck:||this:||shit||🖕🖕,Yes,1.55E+18,,FALSE,1
MMMH!,1.54E+18,61,79,2513,0,47749,0,FALSE,7/1/2022 8:30,,,Yes,1.81E+18,,FALSE,0
Mzee Pole,1.75E+18,76,189,4923,0,8054,6,FALSE,1/23/2024 12:04,,,Yes,,,FALSE,0
Ndolo,4819123288,164,206,7326,0,5794,127,FALSE,1/16/2016 20:02,,Cultured. Car enthusiast. Open to learning new things. We try again.,Yes,,,FALSE,1
Miss J,439218204,886,891,3226,1,14878,68,FALSE,12/17/2011 14:15,"Nairobi, Kenya","Tech,Environmentalist.",Yes,,,FALSE,1
morree,1.62E+18,4,21,359,0,620,0,FALSE,1/24/2023 16:24,,,Yes,,,FALSE,0
ᴰᵃᵐˢᵉˡ ⁱⁿ ᵈⁱᵒʳ,1.04E+18,171,87,35619,0,44560,33,FALSE,9/19/2018 7:19,,|| Feminist || fur mom | | LLB ⚖️📚| Here to have a good laugh,Yes,,,FALSE,0
@NgugiMuchoki,623137212,2166,2676,8961,4,46257,317,FALSE,6/30/2012 19:04,"Nairobi, kenya","Land Surveyor | Remote sensing, biodiversity & conservation | Politics | Freethinker....MSeal F.C | Göõñër",Yes,,,FALSE,1
Lost Frequencies,555030097,6877,7554,23977,2,39295,91,FALSE,4/16/2012 10:42,"Nairobi, Kenya",Viva!,Yes,1.28E+18,,FALSE,0
TN,9.39E+17,767,1215,19861,0,88172,4,FALSE,12/7/2017 13:17,,Lover of life,Yes,,,FALSE,0
Thoguo,1.38E+18,455,711,11054,0,11880,73,FALSE,4/7/2021 13:49,🇰🇪🇦🇪,Good vibes and Inshallah!,Yes,,,FALSE,0
Mdawida,1.24E+18,1096,2090,4710,0,27697,0,FALSE,3/15/2020 16:50,,Life is what you make it.,Yes,,,FALSE,0
Evelyne Musa,7.04E+17,39,128,209,0,123,1,FALSE,2/27/2016 17:02,,,Yes,,,FALSE,0
Civilized Rebel 🇰🇪,1074361987,486,40,6708,0,2379,52,FALSE,1/9/2013 17:16,,"Numbers don't lie.

Web Dev | SQL | Python",Yes,,,FALSE,1
Queen B,1.49E+18,193475,1237,112398,68,103756,589,FALSE,2/17/2022 13:12,United States,DM for Business,Yes,1.81E+18,,TRUE,0
Cashkid 254,1.56E+18,16,84,390,0,7516,1,FALSE,8/15/2022 5:17,,certified money maker💲💵,Yes,,,FALSE,0
Yunaay,7.83E+17,17389,1984,136959,11,74861,9716,FALSE,10/4/2016 9:20,"Nairobi, Kenya","• I Speak Klingon. We Rise by Lifting Others. 
                      


https://t.co/NyKbUKBYb6",Yes,1.77E+18,,FALSE,0
dennoshiks2,1.57E+18,1219,1812,79193,0,76328,2,FALSE,9/11/2022 14:00,Seasons kasarani,Silence is the best weapon,Yes,,,FALSE,1
mike ohana,1.21E+18,366,712,3550,0,15087,21,FALSE,1/5/2020 7:36,Nakuru ,YOBA,Yes,,,FALSE,1
GK Simon,142256592,728,2113,847,0,8041,2,FALSE,5/10/2010 11:38,,,Yes,,,FALSE,0
Black Women Stan Account!,1.07E+18,861,95,35461,1,137918,119,FALSE,12/8/2018 16:51,"Manchester, England",🇰🇪🇬🇧,Yes,1.27E+18,,FALSE,1
Mello,8.40E+17,533,631,40504,2,55446,332,FALSE,3/9/2017 7:32,United Kingdom,Data Scientist | Kenyan 🇰🇪 | Feminist |Balanced ✝️,Yes,1.78E+18,,FALSE,1
Joseph Okoth Otieno,1.66E+18,638,2582,6469,0,3530,1129,FALSE,5/20/2023 7:52,"Busia, Kenya","Psychology, politics, and sports",Yes,1.81E+18,,FALSE,1
Wendy Omanga,794343247,1744,208,22615,23,40580,349,FALSE,8/31/2012 17:46,Kenya,CNN Academy Fellow 2023 || Award winning journalist || Beauty Queen ||Founder @Moonlight_254,Yes,1.80E+18,https://t.co/xnbVaa96FQ,FALSE,1
agent E,1.21E+18,137,273,3078,0,4970,146,FALSE,12/28/2019 11:20,,*heavy sigh*,Yes,1.61E+18,,FALSE,1
Georgina🧄,1.03E+18,1474,1369,8390,0,17651,299,FALSE,8/27/2018 12:45,"Thika, Kenya","Journalism graduate /
Community Development proficient /
USIU alumni /
Where there's life, there's change🙂",Yes,1.07E+18,,FALSE,1
Pampulah,2479467301,626,1325,15257,2,51458,325,FALSE,5/6/2014 7:57,"Busia, Kenya","Arsenal FC, Okisegere",Yes,1.25E+18,,FALSE,0
Marcel Okoye,452982723,372,609,104674,1,38499,8,FALSE,1/2/2012 13:08,Lagos ,"Very cool headed, loving and eager to lend a helping hand always. Outgoing, socially active and enjoys having some private time alone.
VERY OBIDIENT!",Yes,,,FALSE,0
Kamuren_,8.24E+17,523,377,2300,0,240327,9,FALSE,1/23/2017 13:03,"Nairobi, Kenya",🇰🇪,Yes,,,FALSE,1
Emmanuel ong'era.,1420672027,930,1933,11898,2,65,18,FALSE,5/11/2013 13:30,Nairobi,A financial analyst at Bro Financial Consultancy|Semi-actuary|,Yes,,,FALSE,1
Invictus,1.55E+18,261,1048,693,0,847,93,FALSE,7/26/2022 17:37,Anywhere,"LLB student, KU. GGMU",Yes,,,FALSE,0
Silvester Munyoro,9.76E+17,608,83,472,0,667,14,FALSE,3/19/2018 12:43,Kenya,"🔸 Avid reader 📚

🔸Aspiring stoic philosopher",Yes,1.49E+18,,FALSE,1
Nkatha J,313249084,385,574,12679,2,6431,140,FALSE,6/8/2011 11:10,kenya,"My thoughts, My words, My life.. I don't need your judgement",Yes,,,FALSE,1
Bonge la mtesi,2319596335,434,320,12633,0,29508,57,FALSE,1/30/2014 21:50,"Nairobi, Kenya ",,Yes,,,FALSE,0
dice kimani,9.24E+17,48,158,292,0,303,9,FALSE,10/26/2017 17:14,Kenya,"Blinded by His grace                                                                
         Red all over🧧GGMU",Yes,1.74E+18,,FALSE,0
Sir-Rap-A-Lot,1.56E+18,8209,3115,47130,3,47253,1218,FALSE,8/27/2022 19:17,United States,"Not affiliated/Parody account.
Data Analyst.
Financial Analyst.",No,1.81E+18,,FALSE,0
what i didn’t tell you🧚🏾‍♀️,1.40E+18,1862,961,17708,1,90418,708,FALSE,5/25/2021 15:26,levitated,"you snooze, you lose:)",Yes,1.68E+18,,FALSE,1
Ivy Sian,1.24E+18,12,7,373,0,8479,0,FALSE,3/15/2020 18:30,,,Yes,,,FALSE,0
𝐹𝑖𝑔ℎ𝑡𝑖𝑛𝑔 𝑑𝑟𝑒𝑎𝑚𝑒𝑟,8.63E+17,11717,916,69213,9,259894,6682,FALSE,5/11/2017 19:19,"Lilburn, GA",Artist 💫 | the drums of Liberation 🥁,Yes,,,FALSE,1
#RejectFinanceBill2024,320251025,838,1808,24554,5,11111,520,FALSE,6/19/2011 15:45,Kenya,..This too shall pass.....#OracleRedbull #F1..  ..,Yes,1.20E+18,,FALSE,1
Azamat,34924544,385,269,10277,1,20043,204,FALSE,4/24/2009 13:30,"Nairobi,kenya","useless knowledge expert ,licensed seller of poisons",Yes,,,FALSE,1
Diana,1.59E+18,6,39,896,0,7,5,FALSE,11/10/2022 6:53,,,Yes,,,FALSE,0
eng juma,1.31E+18,134,727,494,0,887,17,FALSE,9/30/2020 12:06,,juma the electrician.,Yes,,,FALSE,0
maish major,1.67E+18,1554,2046,2315,0,3106,883,FALSE,6/17/2023 3:52,,,Yes,,,FALSE,0
CLEMO🇰🇪,1.25E+18,5989,1464,13345,1,313534,1849,FALSE,4/20/2020 15:34,Kenya,"Graphic Designer | @adobe | @photoshop |
(CLEM INTERNATIONAL)",Yes,,https://t.co/Cdm0C5zKGA,FALSE,0
Smyles,731264390,2102,1394,186167,5,2893,49,FALSE,8/1/2012 19:07,"Kenya, South Coast ","Comparative, Contemporary and Literary African Literature Studies | Kasonzo village raised me |",Yes,1.34E+18,https://t.co/GYekZKsB3t,FALSE,0
Azxxbroo,1.55E+18,1,1,108,0,4678,0,FALSE,7/20/2022 18:59,,,Yes,,,FALSE,0
benson winston ododa,932406458,22,484,160,0,27,15,FALSE,11/7/2012 16:20,,,Yes,,,FALSE,0
kenchezz kenchizzo,1.59E+18,11,135,271,0,1940,0,FALSE,11/8/2022 17:57,"Nakuru, Kenya",Master dreads,Yes,,,FALSE,0
Jeremy Githome,1.75E+18,30,145,24,0,32,1,FALSE,1/21/2024 17:01,,,Yes,,,FALSE,0
Shabaya Deche,249264590,516,287,4598,6,5363,77,FALSE,2/8/2011 18:09,Nairobi,HCI Consultant | EWaste Advocacy | Product Manager | 4IR,Yes,,,FALSE,1
florence wathumbi,1.55E+18,237,624,3923,0,9304,5,FALSE,7/13/2022 7:36,,,Yes,,,FALSE,0
KENY🅰️N GRING🅾️,1.38E+18,7377,7274,23742,4,113108,1051,FALSE,3/26/2021 14:15,"Nairobi, Kenya",Business_oriented//Brand Influencer//Deep State Advicer//UoN_Mastermind//Cityzen💙 #masculinitysaturday,Yes,,,FALSE,1
B 👩‍💻,343379317,1394,400,163801,23,35276,745,FALSE,7/27/2011 13:51,"Nairobi, Kenya","Life's too short, have fun ♥️

#DoHardThings",Yes,1.66E+18,,FALSE,1
Wuzu~Diss_apear,4595139133,725,5199,4651,1,6386,101,FALSE,12/18/2015 16:06,"Mombasa, Kenya","Forex trader,
Full-stack Dev.
Chess Master ♟️&
zen☮️☯️",Yes,,,FALSE,1
Wanjiku🍍,9.08E+17,420,322,6165,0,25495,76,FALSE,9/12/2017 16:59,,♊😊,Yes,,,FALSE,1
JOloo #SafetyFirst,154876973,46929,44911,121838,28,137472,6766,FALSE,6/12/2010 13:12,Nairobi,OSH,Yes,1.46E+18,,TRUE,0
brian wattanga,374993745,4175,4984,190612,5,1033616,396,FALSE,9/17/2011 9:45,"kisumu,kenya",always striving to make the best out of every situation regardless  of the circumstances.optimist always looking at the big picture,Yes,,http://t.co/4VU6NTJ3y2,FALSE,0
chebetonsteroids,1.07E+18,45947,529,14735,8,23440,1475,FALSE,12/6/2018 20:55,"Nairobi, Kenya",mamamia,Yes,,https://t.co/CnF0yF6Zc9,FALSE,0
❔,1.63E+18,1,7,173,0,109,4,FALSE,2/27/2023 8:14,Dawg,"Wassup stalker 
            Cfc💙",Yes,,,FALSE,1
KaViTiD,8.37E+17,183,783,4512,0,9409,2,FALSE,2/28/2017 13:32,,GOD🔝🔛,Yes,,,FALSE,0
Simbary,1.64E+18,78,371,1546,0,5246,15,FALSE,3/13/2023 11:15,,KMTC student,Yes,,,FALSE,1
Doktadee,9.89E+17,101,398,668,0,6889,2,FALSE,4/25/2018 3:33,"Nairobi, Kenya",,Yes,,,FALSE,0
REVOLUTIONARY ICON,8.82E+17,4373,4441,5574,1,3538,79,FALSE,7/4/2017 1:38,Belfast      🇮🇪   🇰🇪  🇵🇱,"°Chief Curator || 
°Head of Smithsonians East African Chapter¡

°Kenya ni Mimi ||
Future President of The Republic of Kenya🇰🇪
  
||¤ Revolutionary Icon© || ||",Yes,,https://t.co/7R4vT3M8mk,FALSE,1
Celly❤️,1.18E+18,926,3136,13386,5,53228,13,FALSE,9/30/2019 11:09,"Nairobi, Kenya","Catholic 🙏
Jovial, 😂😂fun loving, extremely social 😂😂😂😂.",Yes,,,FALSE,0
EBERU,1.41E+18,142,473,362,0,3265,2,FALSE,7/13/2021 13:44,"Machakos, Kenya","FOOTBALL ENTHUSIAST ⚽. CHELSEA F.C💙
A.F.C LEOPARDS 🐆",Yes,,,FALSE,1
alekz kihumba,2765432291,121,598,832,0,181,43,FALSE,9/9/2014 10:40,Kenya,Construction Site Supervisor,Yes,,,FALSE,1
Duncan,1.56E+18,4653,5364,6912,0,56899,137,FALSE,8/4/2022 15:54,"Nairobi, Kenya",A son to my late parents,Yes,,,FALSE,1
Bill_Gets,1.64E+18,16,130,375,0,3440,10,FALSE,3/15/2023 21:43,Kenya,,Yes,,,FALSE,0
Counsel Ken Kinyanjui,222763714,764,903,14945,1,127811,155,FALSE,12/4/2010 11:18,"Nairobi, Kenya",Cosa Nostra,Yes,,,FALSE,0
kelvine oduong',550860293,70,206,612,0,27,11,FALSE,4/11/2012 10:03,Nbi.,Da Stargo Tora_the black of my eye.,Yes,,,FALSE,0
St Patrick.,1.14E+18,1220,2249,16940,1,19169,118,FALSE,6/9/2019 8:31,"Nairobi, Kenya",,No,,,FALSE,0
🔥,4892940263,125,184,4080,0,8254,8,FALSE,2/9/2016 20:12,,,Yes,,,FALSE,0
M'othew,1396250293,230,424,2552,1,7657,61,FALSE,5/2/2013 4:21,"Nairobi, Kenya",,Yes,,,FALSE,0
Eazsy_Deynooh,1.61E+18,135,142,8337,0,11661,5,FALSE,1/9/2023 14:57,nairobi,"Avid reader, trader and mind power researcher.",Yes,,,FALSE,1
Akoko Mbero Mr Stockmann,9.51E+17,352,656,5789,1,25348,337,FALSE,1/11/2018 15:51,Konohagakure,"Robotics Engineer, AI.  🇰🇪 🇩🇪                                             Pan-Africanist",Yes,,,FALSE,1
The FaultFinder,1.80E+18,11,88,431,0,1,54,FALSE,6/22/2024 19:02,,"Activist, government critic, chelsea fan, a Christian.
I like my odds.",Yes,,,FALSE,1
Leonard Githang'a,34012557,910,1105,44934,17,9907,348,FALSE,4/21/2009 19:36,"Toronto, Ontario","Free spirit | Sports Consultant | Joke Collector | @Kiamburfc | Agri-business | Father | Husband | IG @mucugii |

Founder @undefined_sport",Yes,1.52E+18,,FALSE,1
Lucky Bravine,1.48E+18,143,405,6987,0,20121,0,FALSE,1/22/2022 20:44,,,Yes,,,FALSE,0
PALMER™🇰🇪,1.41E+18,1922,990,9999,0,80736,747,FALSE,6/25/2021 5:28,Sijui,"LA VIE EST BELLE ❤️
@ManUtd fan. 
USAf - United States of Africa 🖤",Yes,1.73E+18,https://t.co/abnbQEe2HM,FALSE,1
drey,2864194450,192851,7707,570823,99,71633,37750,FALSE,11/6/2014 17:57,"Gotham, England",stay dangerous,Yes,,,TRUE,1
OJANGA,1.26E+18,63944,2346,175849,39,242204,4603,FALSE,5/16/2020 11:47,Baked,I do Promos. https://t.co/rB82YZs0fP,Yes,,,TRUE,1
KELVIN KIPTOO,1.26E+18,2667,5335,10040,10,7760,676,FALSE,5/11/2020 12:51,Eldoret ,"Accountant,Auditor & Tax consultant.",Yes,,,TRUE,1
hmmm,3023967989,602,4738,19969,1,22993,247,FALSE,2/7/2015 21:48,"Olooseos, Kenya",happiness can't be persued it can only ensue.. # yung east african introvert#,Yes,,,FALSE,0
HARRY,8.57E+17,2112,1926,72623,2,173073,2089,FALSE,4/25/2017 13:43,(2-5-4) N A I R O B I,,Yes,1.35E+18,,FALSE,0
Calvin,539836181,1334,1122,23011,2,5219,343,FALSE,3/29/2012 9:41,kenya,"#Arsenal|
Politics|
Sports",Yes,,,FALSE,1
WANJAMA🇰🇪🇰🇪,7.39E+17,7465,6532,37176,1,25248,376,FALSE,6/4/2016 8:28,"Nakuru, Kenya",,Yes,,https://t.co/lyRNFZYHaB,FALSE,0
14Kheed,1.43E+18,26,37,2810,0,410,0,FALSE,8/14/2021 16:02,"Nairobi, Kenya",Go Great,Yes,,,FALSE,1
maxxie,7.71E+17,35,222,5445,0,34283,1,FALSE,8/30/2016 11:05,,🖤🖤,Yes,,,FALSE,1
Him,1.29E+18,95,153,2008,0,8783,56,FALSE,7/27/2020 20:16,🇰🇪,Breathe.,Yes,1.62E+18,https://t.co/IYumGksxRx,FALSE,1
frank,1.68E+18,39,85,2111,0,2224,4,FALSE,7/18/2023 10:06,Kenya,,Yes,,,FALSE,0
Mike👨‍💻,9.24E+17,235,56,1155,0,1441,153,FALSE,10/27/2017 10:05,,"Innovating one click at a time. When I'm not designing, I'm outside recharging.",Yes,1.42E+18,,FALSE,0
maliks 🇸🇴 14/09/15/21,3023379046,34827,1451,86781,45,13133,8596,FALSE,2/7/2015 15:42,Mogadishu,I am Not RESPONSIBLE for how you understand my Tweets and The Version of me you've created in your mind is not my RESPONSIBILITY.,Yes,1.80E+18,,FALSE,0
🦍,794485208,1534,2173,10716,2,10979,258,FALSE,8/31/2012 19:09,,Make peace with your inner weird.,Yes,1.48E+18,,FALSE,0
Didacus Migwala,1563914306,396,331,3388,0,17876,15,FALSE,7/2/2013 19:15,"Nairobi, Kenya",Art of 💊||🇰🇪,Yes,,,FALSE,1
Otieno Njuguna,1.48E+18,113,376,424,0,190,8,FALSE,12/27/2021 17:56,,"film enthusiast 🎬
location and post production sound.",Yes,,,FALSE,0
JANGIMA,8.00E+17,291,557,16798,1,14396,421,FALSE,11/18/2016 10:40,Nairobi,"Take set of actions that are likely to prolong civilization, minimize the probability of a dark age and reduce the length of a dark age if there is one.",Yes,,,FALSE,1
TechSensei,1.54E+18,239,994,2354,0,9941,4,FALSE,7/3/2022 15:56,München,,Yes,,,FALSE,0
Heki Jr,1.58E+18,160,1830,1261,0,30815,12,FALSE,10/5/2022 13:44,"Nairobi, Kenya",The tree grows before it dies.,Yes,,,FALSE,1
La Sape Kiprop,127452333,5852,1090,97339,53,6662,3080,FALSE,3/29/2010 7:18,Inside Your Head,Beneficiary of rural to urban migration.,Yes,1.80E+18,,FALSE,1
Emmanuel Kimutai,1.72E+18,95,89,2059,0,3229,33,FALSE,11/4/2023 16:49,,,Yes,1.81E+18,https://t.co/BxqxYoi9ka,FALSE,0
Kiprop🇰🇪- The Duke of BurntForest,1.71E+18,560,723,4180,0,5307,69,FALSE,10/12/2023 11:06,"Nairobi, Kenya",I speak loyalty Fluently|CEO Moriso Life Solutions LTD|| Son of Samuel. Medical Doctor,Yes,1.80E+18,,FALSE,1
MD Vintage,1.45E+18,2315,3292,7993,1,197364,165,FALSE,10/11/2021 9:51,"Nairobi, Kenya",C# | .NET | Azure | Full-Stack | SAP Reports | MS-SQL  | JavaScript | Jira | WebAPIs,Yes,,https://t.co/a1DQlV0hd2,FALSE,1
@malkiah,1.22E+18,92,113,3705,0,4346,4,FALSE,1/14/2020 17:27,,"Destined to be great💝.
Lover of philosophy and psychology. 
Manchester City fan💙.",Yes,,,FALSE,0
kekimbilinaicecream,1.63E+18,7,55,768,0,166,1,FALSE,3/6/2023 5:49,,,Yes,,,FALSE,0
Missy_dreads,9.09E+17,751,772,8288,0,8695,270,FALSE,9/15/2017 14:47,Home ,😉 Taveta babe with a touch of Kisii innit,Yes,,https://t.co/7iPTal5yO3,FALSE,0
Sabi gurl,9.09E+17,4651,1186,13241,3,11517,496,FALSE,9/17/2017 15:16,Australia📍,Future is female♥️|| BscN -RN🇰🇪🇬🇧🇳🇿🇦🇺||Travel Nurse|| Scorpio 🦂♏,Yes,1.78E+18,,FALSE,1
Nkoisab,2461784512,318,271,10870,0,28283,185,FALSE,4/5/2014 6:51,Kenya,사랑,Yes,,,FALSE,1
A,345181562,1556,701,96271,14,34355,3997,FALSE,7/30/2011 5:22,Fantastica,Wannabe marathoner. Aspiring bee keeper. 🐝 Eliud Kipchoge stan account.,Yes,1.35E+18,,FALSE,0
Amakanji Thomas,7.09E+17,41373,7006,95571,16,124127,5339,FALSE,3/14/2016 7:53,"Nairobi, Kenya",Pa🌴ma sub pondere crescit 🇰🇪🇹🇿🇺🇬.,Yes,1.72E+18,,TRUE,0
Shak Bin Shakur,2891916557,379,925,2166,0,86133,52,FALSE,11/25/2014 12:11,Syria,ALLAHU AKBAR!,Yes,,,FALSE,0
Njoki Kamau,8.81E+17,720,101,4059,0,9450,55,FALSE,6/30/2017 20:39,"Nairobi, Kenya",Writer||Public relations||Strategist||Entrepreneur||,Yes,,https://t.co/6E64fLcvwS,FALSE,1
noo,1.66E+18,22,240,4844,0,7645,0,FALSE,5/25/2023 20:40,,,Yes,,,FALSE,0
Sanji again..,1.25E+18,1620,844,62443,12,77649,3906,FALSE,4/6/2020 13:48,"Elbaf, NW",part time cuddler part time chef,Yes,1.74E+18,,FALSE,1
Underground Picasso,1.44E+18,50,118,1431,0,3995,17,FALSE,9/25/2021 13:14,,"🇰🇪
Hussle and Motivate

Hated, adored, but never ignored @ManUtd",Yes,,,FALSE,1
ALFAYO,326604883,310,553,16229,41,5062,93,FALSE,6/30/2011 5:33,"Kitale, Kenya",,Yes,,,FALSE,0
Andal Angugo,7.48E+17,187,348,3089,0,6250,8,FALSE,6/29/2016 17:02,"Nairobi, Kenya",unfollowing those who don't follow back😊,Yes,,,FALSE,1
ALOKAH,1.41E+18,3185,2650,11778,6,70977,108,FALSE,6/29/2021 9:57,Mental Health Centre ,"Your Habits shape your Identity, and your identity shape your habits.",Yes,1.69E+18,,FALSE,0
Diana Belina,3226413203,283,433,1074,0,2754,53,FALSE,5/1/2015 16:15,"Eastern, Kenya",cool me,Yes,,,FALSE,0
ً,8.79E+17,3342,1044,32468,1,33993,725,FALSE,6/24/2017 8:45,,,Yes,,,FALSE,0
Naomi,3425559153,274,256,3850,0,403,4,FALSE,8/16/2015 10:27,,,Yes,,,FALSE,0
Nesphory Mwakisha,8.34E+17,1561,1893,10539,0,19422,375,FALSE,2/20/2017 17:51,"Nairobi, Kenya","Medical Laboratory Science|
Pathology Major|
TuM|
In spirit of icons like Mahsa Amini|
Walking the Talk|
First born son, Brother and Councilman|
Alpha Doctor|",Yes,1.81E+18,,FALSE,1
Erasto,304290145,603,898,5268,2,16716,160,FALSE,5/24/2011 8:07,Worldwide,Visionary | Techprenuer | Investor | Made for Greatness,Yes,,,FALSE,0
Vintex176,1.30E+18,111,738,274,0,571,5,FALSE,8/27/2020 20:49,Kenya,SOC Analyst/Network Security Consultant/Linux Administrator/3cx Administrator,Yes,,,FALSE,0
TIS I,1.16E+18,1131,1163,3047,1,76338,10,FALSE,8/2/2019 15:51,"Nairobi, Kenya",Pharmaceutical technologist//Entrepreneur,Yes,1.27E+18,,FALSE,0
Generous Queen👑,1.55E+18,66,6,7697,0,104023,1,FALSE,7/28/2022 9:21,,,Yes,,,FALSE,0
Ivan,1.14E+18,676,638,11004,0,32981,15,FALSE,6/22/2019 9:15,,"DOING WHAT IS RIGHT NOT WHAT IS EASY||
Electrical and Electronic Engineer||
 Rugby Player||
Son of a wounded lion 🦁",Yes,,,FALSE,0
goldfish,1.61E+18,3,77,179,0,56,0,FALSE,1/9/2023 13:03,,,Yes,,,FALSE,0
melodramatic,1.52E+18,752,310,17957,2,34430,175,FALSE,4/30/2022 20:49,,She/they|| wlw|| Everything works out for me🙈🙈,Yes,1.80E+18,,FALSE,1
Cynthia Wairimu,1.70E+18,0,4,132,0,900,0,FALSE,8/26/2023 15:36,,,Yes,,,FALSE,0
Maya Amolo 💋,7.68E+17,6981,424,13919,11,25908,776,FALSE,8/23/2016 17:52,"Nairobi, Kenya",singer + songwriter + sweetest girl | 🇰🇪,Yes,1.80E+18,https://t.co/X0IV9LEbNJ,FALSE,1
Moon Beam 🌘,1041408854,444,242,5632,3,27933,518,FALSE,12/28/2012 5:30,"Nairobi, Kenya ","Exploring, Creating, Capturing",No,,https://t.co/bqGeDUO6Fm,FALSE,1
bliktreak,1.69E+18,21,129,90,0,4449,0,FALSE,7/28/2023 21:18,,,Yes,,,FALSE,0
N. K,1.27E+18,31,183,85,1,26,9,FALSE,5/28/2020 4:27,global,,Yes,,,FALSE,0
Wiswa Job,1.65E+18,91,209,2334,0,7314,3,FALSE,5/5/2023 17:57,,,Yes,,,FALSE,0
freeze,1.79E+18,30,25,5312,0,5924,0,FALSE,5/16/2024 18:35,,,Yes,,,FALSE,0
Joy Johnson,417942316,723,637,41430,0,70079,30,FALSE,11/21/2011 15:10,My Lane,,Yes,1.09E+18,,FALSE,0
BadGyal_nation,1.55E+18,27,48,2707,0,5814,8,FALSE,7/17/2022 14:47,,,Yes,,,FALSE,0
Carol Ng'ang'a,42448657,847,1446,5959,3,4620,43,FALSE,5/25/2009 17:40,Nairobi,Public Theologian | Justice | Founder@msingitrust IPodcaster- Msingi Talks | Tearfund:Young Theologian 2018; Inspired Individual 2020 | FLMBaRI (EA) Cohort 2018,Yes,1.55E+18,http://t.co/2pfU1fKM8c,FALSE,1
